Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke];;;;
Sayı;Zaman;Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-avg[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-min[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-max[Wh]
6;07.08.2019 15:30;30953,799;30600;38400
7;07.08.2019 15:45;95725,156;38400;154800
8;07.08.2019 16:00;204441,859;155400;277800
9;07.08.2019 17:15;836451,313;777000;884400
10;07.08.2019 17:30;938235,063;886800;1008000
11;07.08.2019 17:45;1072892,125;1008000;1129800
12;07.08.2019 18:00;1192555,5;1134000;1255200
13;07.08.2019 18:15;1319000;1257000;1378800
14;07.08.2019 18:30;1443262,375;1380600;1501800
15;07.08.2019 18:45;1563077,125;1503600;1622400
16;07.08.2019 19:00;1686732,75;1626600;1750800
17;07.08.2019 19:15;1817028;1753200;1875600
18;07.08.2019 19:30;1939266,625;1882200;1998600
19;07.08.2019 19:45;2063329,75;2000400;2124600
20;07.08.2019 20:00;2185440,5;2124600;2247600
21;07.08.2019 20:15;2307781,75;2249400;2367600
22;07.08.2019 20:30;2429541,75;2369400;2488200
23;07.08.2019 20:45;2549959;2490600;2608800
24;07.08.2019 21:00;2670727,25;2610600;2727600
25;07.08.2019 21:15;2787115,5;2730000;2845200
26;07.08.2019 21:30;2903845;2848800;2961000
27;07.08.2019 21:45;3021199;2965200;3078600
28;07.08.2019 22:00;3137783,75;3081000;3195600
29;07.08.2019 22:15;3253159,25;3197400;3312600
30;07.08.2019 22:30;3372192,25;3314400;3426000
31;07.08.2019 22:45;3472659,25;3427800;3511200
32;07.08.2019 23:00;3544922,5;3512400;3576000
33;07.08.2019 23:15;3605021,5;3576000;3630600
34;07.08.2019 23:30;3657250,25;3631200;3681600
35;07.08.2019 23:45;3706094;3682200;3730200
36;08.08.2019 00:00;3754568;3731400;3777000
37;08.08.2019 00:15;3801170,25;3778800;3823800
38;08.08.2019 00:30;3846500;3824400;3868800
39;08.08.2019 00:45;3891038,25;3869400;3909600
40;08.08.2019 01:00;3928813;3910200;3946800
41;08.08.2019 01:15;3966096,5;3948000;3984600
42;08.08.2019 01:30;4003871,5;3985200;4021800
43;08.08.2019 01:45;4040530,25;4022400;4058400
44;08.08.2019 02:00;4076016;4059000;4094400
45;08.08.2019 02:15;4113611;4095600;4132200
46;08.08.2019 02:30;4151788;4132800;4170000
47;08.08.2019 02:45;4188151,5;4170000;4207200
48;08.08.2019 03:00;4227102;4208400;4244400
